id;genero;id_classe;categoria;nome_categoria;peso_min;peso_max;idade_min;idade_max;descricao;ativo
94;MASCULINO;SUB 15;MEIO-MÉDIO;SUB 15 MASCULINO MEIO-MÉDIO (-55 kg);50.01;55.00;13;14;Atletas que completam 13 ou 14 anos no ano vigente. (Menores de 15 anos);1
95;MASCULINO;SUB 15;MÉDIO;SUB 15 MASCULINO MÉDIO (-60 kg);55.01;60.00;13;14;Atletas que completam 13 ou 14 anos no ano vigente. (Menores de 15 anos);1
96;MASCULINO;SUB 15;MEIO-PESADO;SUB 15 MASCULINO MEIO-PESADO (-66 kg);60.01;66.00;13;14;Atletas que completam 13 ou 14 anos no ano vigente. (Menores de 15 anos);1
97;MASCULINO;SUB 15;PESADO;SUB 15 MASCULINO PESADO (-73 kg);66.01;73.00;13;14;Atletas que completam 13 ou 14 anos no ano vigente. (Menores de 15 anos);1
98;MASCULINO;SUB 15;MEIO-PESADO;SUB 15 MASCULINO MEIO-PESADO (-81 kg);73.01;81.00;13;14;Atletas que completam 13 ou 14 anos no ano vigente. (Menores de 15 anos);1
99;MASCULINO;SUB 15;SUPER PESADO;SUB 15 MASCULINO SUPER PESADO (+100 kg);100.01;;13;14;Atletas que completam 13 ou 14 anos no ano vigente. (Menores de 15 anos);1
100;FEMININO;SUB 15;LIGEIRO;SUB 15 FEMININO LIGEIRO (-36 kg);0.00;36.00;13;14;Atletas que completam 13 ou 14 anos no ano vigente. (Menores de 15 anos);1
101;FEMININO;SUB 15;MEIO-LEVE;SUB 15 FEMININO MEIO-LEVE (-40 kg);36.01;40.00;13;14;Atletas que completam 13 ou 14 anos no ano vigente. (Menores de 15 anos);1
102;FEMININO;SUB 15;LEVE;SUB 15 FEMININO LEVE (-44 kg);40.01;44.00;13;14;Atletas que completam 13 ou 14 anos no ano vigente. (Menores de 15 anos);1
103;FEMININO;SUB 15;MEIO-MÉDIO;SUB 15 FEMININO MEIO-MÉDIO (-48 kg);44.01;48.00;13;14;Atletas que completam 13 ou 14 anos no ano vigente. (Menores de 15 anos);1
104;FEMININO;SUB 15;MÉDIO;SUB 15 FEMININO MÉDIO (-52 kg);48.01;52.00;13;14;Atletas que completam 13 ou 14 anos no ano vigente. (Menores de 15 anos);1
105;FEMININO;SUB 15;MEIO-PESADO;SUB 15 FEMININO MEIO-PESADO (-57 kg);52.01;57.00;13;14;Atletas que completam 13 ou 14 anos no ano vigente. (Menores de 15 anos);1
106;FEMININO;SUB 15;PESADO;SUB 15 FEMININO PESADO (-63 kg);57.01;63.00;13;14;Atletas que completam 13 ou 14 anos no ano vigente. (Menores de 15 anos);1
107;FEMININO;SUB 15;MEIO-PESADO;SUB 15 FEMININO MEIO-PESADO (-70 kg);63.01;70.00;13;14;Atletas que completam 13 ou 14 anos no ano vigente. (Menores de 15 anos);1
108;FEMININO;SUB 15;SUPER PESADO;SUB 15 FEMININO SUPER PESADO (+70 kg);70.01;;13;14;Atletas que completam 13 ou 14 anos no ano vigente. (Menores de 15 anos);1
109;MASCULINO;CADETE;LIGEIRO;CADETE MASCULINO LIGEIRO (-60 kg);55.01;60.00;15;17;Atletas que completam 15, 16 ou 17 anos no ano vigente. (Menores de 18 anos);1
110;MASCULINO;CADETE;MEIO-LEVE;CADETE MASCULINO MEIO-LEVE (-66 kg);60.01;66.00;15;17;Atletas que completam 15, 16 ou 17 anos no ano vigente. (Menores de 18 anos);1
111;MASCULINO;CADETE;LEVE;CADETE MASCULINO LEVE (-73 kg);66.01;73.00;15;17;Atletas que completam 15, 16 ou 17 anos no ano vigente. (Menores de 18 anos);1
112;MASCULINO;CADETE;MEIO-MÉDIO;CADETE MASCULINO MEIO-MÉDIO (-81 kg);73.01;81.00;15;17;Atletas que completam 15, 16 ou 17 anos no ano vigente. (Menores de 18 anos);1
113;MASCULINO;CADETE;MÉDIO;CADETE MASCULINO MÉDIO (-90 kg);81.01;90.00;15;17;Atletas que completam 15, 16 ou 17 anos no ano vigente. (Menores de 18 anos);1
114;MASCULINO;CADETE;MEIO-PESADO;CADETE MASCULINO MEIO-PESADO (-100 kg);90.01;100.00;15;17;Atletas que completam 15, 16 ou 17 anos no ano vigente. (Menores de 18 anos);1
115;MASCULINO;CADETE;SUPER PESADO;CADETE MASCULINO SUPER PESADO (+100 kg);100.01;;15;17;Atletas que completam 15, 16 ou 17 anos no ano vigente. (Menores de 18 anos);1
116;FEMININO;CADETE;LIGEIRO;CADETE FEMININO LIGEIRO (-48 kg);44.01;48.00;15;17;Atletas que completam 15, 16 ou 17 anos no ano vigente. (Menores de 18 anos);1
117;FEMININO;CADETE;MEIO-LEVE;CADETE FEMININO MEIO-LEVE (-52 kg);48.01;52.00;15;17;Atletas que completam 15, 16 ou 17 anos no ano vigente. (Menores de 18 anos);1
118;FEMININO;CADETE;LEVE;CADETE FEMININO LEVE (-57 kg);52.01;57.00;15;17;Atletas que completam 15, 16 ou 17 anos no ano vigente. (Menores de 18 anos);1
119;FEMININO;CADETE;MEIO-MÉDIO;CADETE FEMININO MEIO-MÉDIO (-63 kg);57.01;63.00;15;17;Atletas que completam 15, 16 ou 17 anos no ano vigente. (Menores de 18 anos);1
120;FEMININO;CADETE;MÉDIO;CADETE FEMININO MÉDIO (-70 kg);63.01;70.00;15;17;Atletas que completam 15, 16 ou 17 anos no ano vigente. (Menores de 18 anos);1
121;FEMININO;CADETE;MEIO-PESADO;CADETE FEMININO MEIO-PESADO (-78 kg);70.01;78.00;15;17;Atletas que completam 15, 16 ou 17 anos no ano vigente. (Menores de 18 anos);1
122;FEMININO;CADETE;SUPER PESADO;CADETE FEMININO SUPER PESADO (+78 kg);78.01;;15;17;Atletas que completam 15, 16 ou 17 anos no ano vigente. (Menores de 18 anos);1
123;MASCULINO;JÚNIOR;LIGEIRO;JÚNIOR MASCULINO LIGEIRO (-60 kg);55.01;60.00;15;20;Atletas que completam 15 a 20 anos no ano vigente. (Menores de 21 anos);1
124;MASCULINO;JÚNIOR;MEIO-LEVE;JÚNIOR MASCULINO MEIO-LEVE (-66 kg);60.01;66.00;15;20;Atletas que completam 15 a 20 anos no ano vigente. (Menores de 21 anos);1
125;MASCULINO;JÚNIOR;LEVE;JÚNIOR MASCULINO LEVE (-73 kg);66.01;73.00;15;20;Atletas que completam 15 a 20 anos no ano vigente. (Menores de 21 anos);1
126;MASCULINO;JÚNIOR;MEIO-MÉDIO;JÚNIOR MASCULINO MEIO-MÉDIO (-81 kg);73.01;81.00;15;20;Atletas que completam 15 a 20 anos no ano vigente. (Menores de 21 anos);1
127;MASCULINO;JÚNIOR;MÉDIO;JÚNIOR MASCULINO MÉDIO (-90 kg);81.01;90.00;15;20;Atletas que completam 15 a 20 anos no ano vigente. (Menores de 21 anos);1
128;MASCULINO;JÚNIOR;MEIO-PESADO;JÚNIOR MASCULINO MEIO-PESADO (-100 kg);90.01;100.00;15;20;Atletas que completam 15 a 20 anos no ano vigente. (Menores de 21 anos);1
129;MASCULINO;JÚNIOR;SUPER PESADO;JÚNIOR MASCULINO SUPER PESADO (+100 kg);100.01;;15;20;Atletas que completam 15 a 20 anos no ano vigente. (Menores de 21 anos);1
130;FEMININO;JÚNIOR;LIGEIRO;JÚNIOR FEMININO LIGEIRO (-48 kg);44.01;48.00;15;20;Atletas que completam 15 a 20 anos no ano vigente. (Menores de 21 anos);1
131;FEMININO;JÚNIOR;MEIO-LEVE;JÚNIOR FEMININO MEIO-LEVE (-52 kg);48.01;52.00;15;20;Atletas que completam 15 a 20 anos no ano vigente. (Menores de 21 anos);1
132;FEMININO;JÚNIOR;LEVE;JÚNIOR FEMININO LEVE (-57 kg);52.01;57.00;15;20;Atletas que completam 15 a 20 anos no ano vigente. (Menores de 21 anos);1
133;FEMININO;JÚNIOR;MEIO-MÉDIO;JÚNIOR FEMININO MEIO-MÉDIO (-63 kg);57.01;63.00;15;20;Atletas que completam 15 a 20 anos no ano vigente. (Menores de 21 anos);1
134;FEMININO;JÚNIOR;MÉDIO;JÚNIOR FEMININO MÉDIO (-70 kg);63.01;70.00;15;20;Atletas que completam 15 a 20 anos no ano vigente. (Menores de 21 anos);1
135;FEMININO;JÚNIOR;MEIO-PESADO;JÚNIOR FEMININO MEIO-PESADO (-78 kg);70.01;78.00;15;20;Atletas que completam 15 a 20 anos no ano vigente. (Menores de 21 anos);1
136;FEMININO;JÚNIOR;SUPER PESADO;JÚNIOR FEMININO SUPER PESADO (+78 kg);78.01;;15;20;Atletas que completam 15 a 20 anos no ano vigente. (Menores de 21 anos);1
